n#010711,n02065599
a#000474,a00090628
v#001641,v00336922
n#021355,n03874487
n#003268,n00644503
n#073163,n13688695
a#011758,a02146481
n#064500,n11953038
n#076377,n14269090
n#011879,n02263848
n#025075,n04495310
n#044296,n08117052
n#058543,n10775245
n#032289,n05896733
n#044768,n08221348
n#068740,n12842519
n#036743,n06811625
n#057880,n10673451
n#055325,n10237935
n#072926,n13655089
n#030295,n05500465
r#002693,r00394849
n#062483,n11500458
n#077685,n14505667
n#033554,n06197664
n#042057,n07723753
n#022124,n04002931
n#062475,n11498679
n#073333,n13708992
n#024754,n04440749
n#003036,n00602220
v#005635,v01158022
n#031468,n05729362
n#007050,n01383151
a#013946,a02515001
a#013492,a02436995
n#030005,n05442789
n#081642,n15216386
n#052044,n09693982
n#010071,n01954962
n#043033,n07871335
n#068617,n12817855
n#038871,n07185870
a#005357,a00979862
n#045594,n08379353
n#013429,n02528949
n#054670,n10131590
v#010441,v02093234
n#063739,n11795216
a#008853,a01617591
n#043150,n07888816
a#006423,a01175541
n#045275,n08312559
n#063520,n11748936
n#014230,n02669079
n#006519,n01269857
n#034329,n06354481
n#019368,n03537241
n#051105,n09519075
v#006612,v01340028
a#011425,a02085322
n#044172,n08089420
n#052347,n09740085
v#000753,v00164816
n#068774,n12849416
n#019229,n03514451
n#001438,n00301443
n#044011,n08058098
n#006967,n01368672
a#006298,a01151951
n#069262,n12949549
n#079112,n14774575
n#001556,n00321956
r#002737,r00401465
n#069335,n12962488
n#002099,n00425781
n#014191,n02663086
n#045473,n08355506
n#037837,n06990836
n#021561,n03907654
n#082031,n15284704
n#041635,n07661486
a#008506,a01549087
v#002072,v00425071
n#038754,n07163381
v#013117,v02645597
a#008415,a01532653
a#000100,a00021403
v#012959,v02613140
v#004004,v00825447
n#034354,n06359467
n#031143,n05664986
a#000392,a00074867
n#000718,n00162055
v#011161,v02239846
n#007789,n01537895
n#004104,n00807925
n#018055,n03321954
a#000903,a00167520
n#019776,n03606572
n#002590,n00522736
a#011058,a02018649
n#011240,n02153445
a#008873,a01621680
n#028707,n05190586
n#082676,n80000562
a#001488,a00266228
n#018371,n03373415
n#006114,n01196759
n#034816,n06447763
v#012961,v02613487
n#010370,n02007558
n#071125,n13316332
n#073436,n13724474
v#005843,v01199755
n#015720,n02921195
n#039244,n07253637
n#001789,n00365709
n#071882,n13450862
a#005052,a00922228
n#044753,n08219059
n#015673,n02912673
n#039657,n07328305
n#042612,n07808587
n#005057,n00993488
n#019097,n03492087
n#080684,n15044327
a#007781,a01425154
n#049260,n09166756
n#015592,n02900459
n#046753,n08622763
n#080234,n14964590
n#036605,n06786358
v#009156,v01844653
a#006110,a01113505
n#053434,n09920901
n#048505,n09016365
n#082467,n80000353
v#001362,v00284813
v#002809,v00567971
n#081337,n15160418
n#073595,n13750415
n#055068,n10191802
a#015646,a02770360
r#001204,r00178586
n#016224,n03005425
n#050863,n09474557
v#001223,v00256862
n#049863,n09282363
n#070569,n13219422
n#040004,n07393589
n#044515,n08165760
n#077145,n14402377
n#046072,n08480662
n#080397,n14994824
n#061999,n11407715
n#044953,n08252211
n#079296,n14805322
n#071431,n13371030
n#052474,n09755893
n#030929,n05626767
n#012502,n02372813
a#011960,a02174781
n#026526,n04768483
n#051591,n09603120
n#012285,n02336641
a#007763,a01422556
v#010979,v02200498
n#060471,n11139927
n#058669,n10803193
n#061673,n11352035
n#037568,n06949121
n#012390,n02353861
n#048640,n09048460
n#051432,n09573966
n#061441,n11312120
n#045624,n08385009
n#063490,n11741575
a#010359,a01888554
n#027819,n05016667
n#005826,n01139490
n#009355,n01822164
a#006857,a01253661
a#011129,a02031165
n#016424,n03037709
n#053783,n09981365
n#020256,n03687137
n#041843,n07690585
a#003852,a00692415
n#080283,n14973585
n#023400,n04220250
n#035998,n06671150
n#069938,n13086753
n#039947,n07382572
n#045362,n08329453
n#046809,n08638141
n#058254,n10732644
a#002039,a00370869
v#004291,v00889947
r#000435,r00075656
n#009545,n01853666
n#028893,n05229990
n#005398,n01056236
a#003864,a00694608
n#038922,n07195241
n#020378,n03706939
n#012737,n02410011
n#074972,n14001852
a#008910,a01628677
n#001237,n00263813
n#048155,n08942508
n#018450,n03385420
n#005445,n01064758
n#080302,n14977188
n#072303,n13537622
n#019430,n03547861
n#080183,n14955776
n#059971,n11048109
n#010628,n02051059
n#045223,n08302724
n#050526,n09410365
n#008462,n01653223
a#016585,a02912686
n#027585,n04973291
v#003951,v00813044
n#031978,n05831784
n#038686,n07148938
a#013442,a02429182
n#051720,n09637013
n#033662,n06218308
n#021888,n03962852
n#022988,n04148464
n#052960,n09845737
a#006990,a01280908
a#013357,a02413221
a#015002,a02679653
n#000287,n00080743
n#079008,n14759588
n#071361,n13358260
n#025706,n04600912
n#060867,n11208431
a#006500,a01188328
v#007986,v01603418
n#068847,n12863234
n#025077,n04495555
n#066272,n12327846
n#027404,n04941942
a#008990,a01642477
n#017535,n03226743
n#017255,n03177708
n#050718,n09448690
n#011459,n02192673
n#063633,n11773408
a#013029,a02352153
n#061794,n11373099
n#070870,n13273738
n#038212,n07055923
a#004202,a00760473
n#015159,n02829696
n#025687,n04597536
a#007941,a01452266
v#008324,v01672014
n#038303,n07072587
n#061075,n11244765
n#067488,n12586867
a#004624,a00842914
a#004026,a00728103
n#005951,n01163586
v#008019,v01608508
a#003723,a00669942
n#000924,n00202284
n#075305,n14066203
a#002003,a00361125
n#008908,n01738065
n#075705,n14145095
n#012559,n02382039
v#010178,v02042404
r#000065,r00013626
n#081147,n15127165
v#012821,v02583379
n#036815,n06825120
n#018904,n03460674
n#037148,n06887599
n#013305,n02506630
n#011873,n02262449
v#002729,v00552815
n#009741,n01895735
n#034271,n06343520
n#024857,n04458201
n#051272,n09543924
n#078465,n14656666
n#030263,n05493002
n#057918,n10679998
n#009442,n01836527
n#069011,n12898959
n#023839,n04287610
a#013241,a02392134
v#005692,v01170983
n#064755,n12005148
n#066734,n12422230
n#064646,n11982545
n#043986,n08053407
a#008208,a01496462
n#023157,n04177755
n#061023,n11235263
n#079144,n14780040
a#007870,a01440422
n#036720,n06807657
n#078997,n14758027
v#003783,v00774056
n#051349,n09559201
n#026395,n04741075
n#031843,n05805012
n#065825,n12234513
v#003602,v00736216
v#005371,v01110247
n#045450,n08351777
n#020018,n03646546
n#031574,n05750163
n#018127,n03334017
v#005002,v01041954
a#005927,a01080197
a#017594,a03070101
n#027479,n04956419
v#011806,v02364849
n#082821,n80000707
n#029915,n05424796
a#013832,a02494253
n#036570,n06779642
n#051446,n09576164
a#016412,a02885790
n#074118,n13842841
a#010349,a01886407
v#011259,v02260959
n#037293,n06911067
v#013086,v02638630
n#039027,n07214642
n#018294,n03361550
n#009970,n01935743
a#011952,a02173773
n#072282,n13532886
n#046729,n08617963
n#019493,n03558633
a#016101,a02837489
n#056821,n10495880
n#077386,n14447525
n#043960,n08047890
n#023249,n04193742
n#038787,n07169970
v#009207,v01856450
n#019176,n03505015
n#081755,n15235334
a#012878,a02325304
n#013104,n02470451
n#073597,n13750574
a#005606,a01025212
r#001212,r00179677
n#051328,n09555514
n#033396,n06162042
n#050352,n09376198
n#039478,n07294423
n#041692,n07668702
n#009853,n01914961
n#038165,n07048928
n#073348,n13710777
a#008908,a01628302
r#001988,r00286518
n#000534,n00127866
a#017074,a02990304
a#018117,a03150301
n#047602,n08810631
n#041371,n07624757
n#027990,n05049656
n#007956,n01565599
n#019257,n03518829
n#051078,n09515027
n#019831,n03616428
n#047783,n08849549
r#001578,r00231620
v#005291,v01095218
n#008183,n01602832
v#003330,v00678105
a#003367,a00607009
n#036262,n06716796
n#055529,n10270232
v#000588,v00121387
n#055806,n10315217
n#041002,n07572134
v#002668,v00542533
a#009325,a01702543
a#007840,a01435189
n#034869,n06461609
v#011438,v02297142
a#002262,a00399923
n#010231,n01983674
a#011158,a02036578
n#075149,n14036892
a#015469,a02747036
n#031279,n05691376
n#058246,n10731244
a#000983,a00182418
v#009189,v01853310
a#016647,a02923745
n#079765,n14887801
n#079171,n14784290
n#057195,n10556124
n#050791,n09461069
n#027910,n05033681
n#079630,n14864360
n#055259,n10224295
n#058347,n10746799
a#002511,a00446525
n#057086,n10538398
n#069799,n13058796
n#064888,n12033310
n#034312,n06351086
v#012960,v02613275
n#030415,n05525391
n#059266,n10914447
a#004368,a00793793
n#035894,n06652242
n#081608,n15210383
n#014535,n02724838
n#047759,n08844108
n#020845,n03789014
n#043663,n07972674
a#000802,a00147659
n#005141,n01008801
v#004468,v00927049
n#002276,n00457890
n#021111,n03834836
n#069277,n12952165
v#013534,v02729632
a#013926,a02511340
n#002101,n00426275
n#070779,n13258269
v#006690,v01354673
n#049067,n09129926
n#033122,n06090397
n#050595,n09426307
n#046473,n08569777
r#000802,r00126837
v#012280,v02467662
n#005323,n01043189
n#046668,n08608157
n#024656,n04425977
n#003940,n00776165
n#073305,n13705674
n#073714,n13769549
n#006627,n01294330
a#018212,a80000057
v#011706,v02349212
n#031497,n05734559
n#002391,n00485081
v#011178,v02243630
n#044588,n08181267
n#060179,n11085633
n#008415,n01645093
n#075045,n14016361
n#009436,n01835584
n#041291,n07614103
n#047330,n08750986
a#005876,a01071794
a#017446,a03045992
n#019048,n03482988
n#079617,n14862481
v#001301,v00271946
n#025917,n04640927
n#058055,n10701644
n#027250,n04910848
n#060933,n11218776
n#077085,n14389240
n#008833,n01724703
n#059037,n10870897
v#006399,v01300271
n#059611,n10980097
n#048665,n09054797
n#055438,n10255915
n#067983,n12686496
v#009353,v01885430
a#010189,a01855204
v#011154,v02238536
n#078277,n14614139
v#006438,v01306566
n#040468,n07475035
n#073985,n13820655
n#035823,n06639023
a#002710,a00480965
n#004689,n00918644
n#031264,n05688630
v#003986,v00820801
v#009143,v01842204
v#010567,v02117649
v#003895,v00799383
a#002602,a00461859
n#068187,n12728864
n#068459,n12783730
n#074860,n13980596
v#010426,v02090435
n#059728,n11002040
n#057534,n10613052
a#014505,a02607752
n#030993,n05637356
a#017943,a03125925
n#042690,n07821919
n#005777,n01129532
v#009409,v01895757
a#017852,a03111573
n#001056,n00227137
n#079012,n14760555
a#007242,a01328604
n#078134,n14587688
n#004772,n00935453
n#055178,n10210911
n#027807,n05014442
n#002300,n00461782
n#064267,n11905584
v#010762,v02158034
n#049788,n09268480
a#015863,a02801037
n#011284,n02161588
a#001748,a00316733
n#024851,n04457326
n#016328,n03021360
r#000135,r00026061
a#014354,a02587083
n#053177,n09878702
v#002289,v00470084
a#010125,a01842963
n#080620,n15034454
n#042399,n07776545
a#006824,a01247975
n#035484,n06579127
n#049844,n09279458
n#045301,n08318691
n#066673,n12410032
n#057208,n10558773
n#000383,n00099799
n#019718,n03598385
v#013825,v80000059
n#077173,n14407211
n#019605,n03579538
n#066468,n12366870
n#002490,n00505726
n#047895,n08884806
n#010461,n02023664
n#020141,n03667060
n#052518,n09764381
n#047986,n08904115
v#008192,v01646682
n#029312,n05308950
r#000110,r00022131
v#000619,v00135285
n#080913,n15083283
n#018829,n03449451
n#042438,n07782804
v#008815,v01771194
n#019429,n03547658
v#011617,v02332788
v#010936,v02191766
n#083180,n80001068
n#032695,n05978472
n#066529,n12380029
n#054426,n10093264
n#010521,n02033444
n#049463,n09204977
n#071467,n13376643
n#014304,n02682699
n#068597,n12814003
n#026941,n04852534
n#050043,n09314964
n#066995,n12479537
n#069086,n12914048
n#061438,n11311623
n#048166,n08944089
n#076728,n14331271
a#008888,a01624115
r#002443,r00356630
a#002379,a00420287
a#016056,a02831143
n#052543,n09771855
n#001731,n00354884
n#074552,n13918816
v#001082,v00227913
n#024328,n04369973
n#078823,n14722240
n#075801,n14166589
n#057825,n10663745
n#074693,n13948654
a#011982,a02179707
n#060459,n11138085
n#046289,n08522287
a#008979,a01640482
a#018228,a80000073
n#062490,n11501649
n#029470,n05340599
n#032615,n05962414
n#016917,n03125184
a#014802,a02652018
n#017708,n03256166
n#021164,n03843438
n#073752,n13775523
n#060814,n11198608
a#014911,a02667148
n#071378,n13361333
n#044619,n08185758
n#065588,n12178358
a#016726,a02935285
n#021646,n03921749
v#002232,v00457770
v#010197,v02046286
n#016692,n03082979
n#049985,n09304465
n#011440,n02189535
v#000260,v00053159
n#013945,n02620033
n#026310,n04720536
n#013850,n02604657
n#026704,n04804169
n#024269,n04359335
n#054936,n10170681
n#059180,n10897796
v#003620,v00739536
n#035153,n06514880
n#010930,n02102480
n#052651,n09790482
n#080948,n15088440
n#063008,n11643022
n#004376,n00861046
r#000056,r00011916
n#077710,n14510247
v#007201,v01451351
n#065022,n12064591
n#004227,n00830811
n#063063,n11653728
n#012540,n02379329
v#008422,v01691660
v#002043,v00419685
n#020437,n03716656
n#037151,n06888174
n#037367,n06919911
a#003549,a00638253
a#015626,a02767514
n#073629,n13756125
n#065663,n12194147
a#000222,a00043765
n#021824,n03951213
n#067471,n12583681
v#011104,v02227487
a#009584,a01746114
n#000303,n00083975
v#008407,v01688256
n#074643,n13937554
n#031838,n05803938
n#053327,n09901921
n#064766,n12007406
v#008516,v01710190
n#033736,n06232298
v#013216,v02665767
n#077938,n14553590
n#078772,n14713748
a#004449,a00807817
r#001274,r00188137
a#017385,a03036464
n#026645,n04792357
n#079257,n14798815
n#026136,n04686537
v#004809,v01000878
a#012382,a02240379
a#004412,a00801539
n#076302,n14257377
a#013688,a02470734
n#081693,n15224486
n#022243,n04025633
n#036918,n06839858
n#035433,n06570647
n#064065,n11863717
n#054197,n10054875
n#071638,n13405015
n#078815,n14720962
n#049368,n09184975
n#060442,n11135044
n#001350,n00286112
n#063361,n11716041
v#011839,v02371811
n#027442,n04949256
v#007541,v01518552
v#009632,v01938288
n#032562,n05952979
n#043201,n07896893
n#011961,n02278343
n#078207,n14600742
a#018198,a80000043
n#071615,n13400798
a#007867,a01440058
n#033383,n06158346
v#008424,v01691927
n#083140,n80001028
v#001282,v00268314
n#079349,n14813957
n#078942,n14745891
n#034293,n06347388
n#070042,n13112035
v#000303,v00060833
n#000593,n00137534
n#060333,n11114637
a#001122,a00207809
n#063012,n11643835
n#046043,n08475929
n#071417,n13368675
n#070736,n13250680
v#000080,v00018405
n#052853,n09830629
n#061282,n11284216
n#037733,n06975902
n#079516,n14843986
n#023250,n04193883
v#012947,v02610628
n#004954,n00974224
v#008236,v01655902
a#014024,a02528921
v#012404,v02492198
v#010424,v02089984
n#011845,n02258065
n#078843,n14725941
n#005340,n01045621
a#011553,a02108547
n#007603,n01492708
n#002188,n00443803
n#022864,n04129688
a#000504,a00096595
v#005118,v01062165
n#070496,n13204826
n#040809,n07535430
a#015454,a02744985
n#079068,n14767663
v#003329,v00677966
n#023571,n04246459
n#025012,n04484024
n#006786,n01327765
n#072373,n13550504
n#064783,n12011067
n#031659,n05768107
n#044147,n08082899
a#008776,a01603869
n#036768,n06816335
n#079173,n14784601
n#067786,n12646072
n#026233,n04704346
v#010226,v02052226
n#030135,n05466575
n#006688,n01308668
n#058339,n10745613
v#010117,v02030967
n#072543,n13584918
v#001871,v00383275
n#055839,n10320484
n#014651,n02746683
a#009650,a01758790
n#081444,n15181282
a#002489,a00442057
n#018340,n03368508
n#044303,n08118260
n#004090,n00805034
n#080092,n14940952
n#062440,n11491308
n#032581,n05956489
r#002745,r00402555
n#007376,n01450453
n#069823,n13063514
n#015874,n02946127
r#001148,r00171457
n#005529,n01081628
n#045282,n08314501
a#018177,a80000022
v#009370,v01888511
a#004317,a00783840
v#006679,v01352806
n#053991,n10017190
n#012994,n02451818
n#082723,n80000609
n#064851,n12024805
n#049279,n09170109
a#004204,a00760783
n#054424,n10092978
n#047551,n08799123
n#036497,n06765656
n#081747,n15233989
n#033408,n06165000
n#043448,n07931612
a#005227,a00953886
n#044080,n08070341
a#009042,a01650883
n#076321,n14260044
n#047329,n08750822
a#015092,a02692815
r#003366,r00486694
n#081863,n15254028
n#041118,n07589724
v#004149,v00859758
n#034130,n06316626
n#052222,n09720702
n#081040,n15104933
n#066089,n12291143
v#002778,v00561887
n#069576,n13012253
n#018233,n03351979
n#002781,n00558181
n#012833,n02425228
r#003194,r00463732
n#069601,n13017240
n#030718,n05584605
n#002694,n00541972
v#002099,v00430494
n#045871,n08429556
n#048881,n09095751
n#054226,n10059582
n#006884,n01351170
r#000980,r00148422
n#022778,n04115906
n#022625,n04090548
n#002645,n00534344
v#001303,v00272391
n#026545,n04772388
n#049244,n09163192
v#001212,v00255079
a#008707,a01589217
n#058765,n10820444
n#081819,n15245990
n#035068,n06500262
n#048304,n08973064
n#070429,n13191620
n#023666,n04261116
n#054631,n10123615
a#002709,a00480880
n#008787,n01716459
n#046643,n08603525
n#034926,n06472824
a#006315,a01154500
n#004299,n00845178
n#008696,n01699537
n#023727,n04269944
n#013642,n02568959
n#022222,n04022332
n#006302,n01231980
a#011850,a02157041
n#045553,n08371200
n#001491,n00310063
v#001383,v00288017
n#006215,n01216908
n#041770,n07680313
v#009462,v01904120
n#048448,n09004495
n#070457,n13197274
n#002511,n00509399
n#052339,n09737453
n#042679,n07820145
a#002688,a00475996
a#014378,a02590709
n#048475,n09010565
n#037417,n06926020
n#035886,n06650701
n#051881,n09666039
n#038931,n07197021
n#046778,n08627316
r#002138,r00310169
n#040149,n07418146
a#003863,a00694483
n#053413,n09916348
a#009589,a01747195
v#000938,v00198477
n#048681,n09058376
n#074856,n13979786
n#059487,n10956883
n#053722,n09970822
n#011321,n02168699
n#008065,n01583209
r#001374,r00201733
n#045212,n08300641
n#013227,n02492948
a#003623,a00652893
n#002573,n00519579
n#008316,n01626134
n#045303,n08318904
n#049610,n09234374
n#082618,n80000504
n#076947,n14365741
n#006687,n01308438
n#038892,n07189932
n#046099,n08485160
n#070402,n13185998
n#013477,n02537716
v#012521,v02517202
n#001160,n00249987
n#006878,n01349948
n#053104,n09867311
n#059334,n10927104
n#024848,n04456734
n#082991,n80000877
v#012178,v02446660
n#023835,n04286960
n#071387,n13362918
n#033955,n06277803
n#001477,n00308208
v#013682,v02755911
r#000274,r00049947
v#003975,v00818553
n#029654,n05372725
n#026458,n04753060
n#082832,n80000718
a#003133,a00561600
n#051783,n09650250
a#007029,a01290028
n#022241,n04025350
n#013581,n02558206
n#009158,n01791107
n#045383,n08334087
v#010923,v02189398
n#016403,n03034244
n#019005,n03476458
n#044938,n08250302
n#029216,n05291010
v#001772,v00363003
n#071304,n13347947
n#055217,n10218292
a#002101,a00378002
n#016186,n02999138
n#011777,n02247076
v#003109,v00627520
n#004010,n00789237
n#012427,n02360781
n#010134,n01965747
a#006937,a01270486
n#014787,n02769075
v#012015,v02410719
v#008893,v01787469
v#003014,v00606471
v#013292,v02682954
a#001906,a00343883
n#067539,n12596148
v#000656,v00143704
n#074999,n14007750
n#026958,n04855524
n#018528,n03399047
n#020344,n03700963
n#058682,n10805113
r#001720,r00251166
n#015274,n02847223
n#011187,n02144442
n#032377,n05915034
n#070144,n13138308
n#064275,n11907100
n#017552,n03229420
n#036172,n06702458
n#020480,n03722944
n#057816,n10662306
n#066578,n12389501
n#032154,n05865034
v#003393,v00692143
n#057682,n10639817
n#036205,n06707178
n#037047,n06870437
n#050064,n09321527
n#026608,n04785195
n#056521,n10439523
n#064081,n11866942
n#050137,n09336555
n#036384,n06742772
n#054923,n10168837
n#048205,n08951957
n#061012,n11233211
n#034888,n06465351
n#014703,n02755675
n#054590,n10118113
n#061103,n11249890
v#007810,v01572003
v#011972,v02400760
n#061843,n11381457
n#051215,n09534843
n#057975,n10688671
n#066299,n12332866
r#000536,r00089883
n#027191,n04899980
n#028333,n05116486
v#012148,v02440244
n#056015,n10348989
n#047014,n08680571
n#047109,n08706399
n#023494,n04234160
a#015638,a02769128
a#015926,a02810882
n#027670,n04988078
n#048384,n08989941
n#019588,n03576215
n#050443,n09394797
n#048297,n08971554
v#008092,v01623365
n#011165,n02140491
n#029679,n05377098
n#029867,n05413647
n#065079,n12076852
v#004348,v00902144
n#071082,n13309776
n#011986,n02282553
v#005574,v01146507
n#022518,n04071393
n#051709,n09632518
n#023775,n04277204
n#044656,n08193212
n#024813,n04450640
a#003550,a00638396
n#000727,n00164152
a#018275,a80000122
n#019945,n03635108
n#083034,n80000920
v#011115,v02229828
n#023378,n04216508
v#005538,v01140654
n#047393,n08763932
a#005940,a01082377
n#006759,n01323261
n#017316,n03190458
n#034216,n06333653
n#047650,n08821578
n#058314,n10741367
v#000015,v00005041
n#064885,n12032686
a#002820,a00501313
n#055972,n10341955
n#026596,n04782610
n#018231,n03351434
a#017482,a03051512
n#079432,n14829073
n#043810,n08004089
n#027498,n04961062
n#057704,n10643218
n#038266,n07065149
n#038564,n07126383
n#036557,n06776986
a#010242,a01865967
n#029885,n05417472
n#050296,n09365443
n#024546,n04406239
n#046158,n08496095
n#066443,n12361754
v#007425,v01497292
n#050262,n09358550
n#026481,n04758313
n#003355,n00661091
a#012015,a02187379
n#056148,n10369955
n#050335,n09373333
n#012324,n02343187
n#074389,n13891082
v#010337,v02073545
v#011889,v02382087
a#010580,a01929456
n#028616,n05172322
n#000591,n00136984
n#022369,n04045644
n#026210,n04699637
n#064248,n11901977
n#045420,n08344301
n#030001,n05441929
n#012257,n02331960
n#062479,n11499510
n#076215,n14241733
n#039457,n07290278
n#055115,n10199251
n#041538,n07647602
v#013396,v02703539
n#030811,n05603342
n#013393,n02522722
n#006436,n01255302
n#064584,n11969977
n#040770,n07528470
a#001056,a00197319
n#017977,n03305135
n#036681,n06801313
n#039339,n07268967
n#064497,n11952346
n#059922,n11038293
n#006793,n01329794
a#005880,a01072297
n#005621,n01101114
n#028595,n05168261
n#036304,n06726478
n#016091,n02982515
n#081955,n15271901
n#014059,n02640093
n#000219,n00067990
n#013123,n02474777
a#012952,a02338543
n#073283,n13702931
n#044015,n08059412
a#005516,a01007258
n#013072,n02465084
n#003186,n00629318
n#077568,n14483744
a#016255,a02861072
n#033044,n06065020
n#017261,n03178538
n#069061,n12909252
n#061146,n11258353
n#060339,n11115785
r#000792,r00125763
n#029887,n05417821
n#048735,n09069190
n#047472,n08780510
n#044387,n08138259
a#017343,a03030515
a#010789,a01969707
n#051021,n09504603
n#047394,n08764107
n#077667,n14501545
n#055889,n10328437
n#061183,n11265416
n#033145,n06100236
n#007433,n01460108
n#000518,n00124880
a#016445,a02890874
a#014080,a02538050
n#026924,n04848686
n#078708,n14701949
a#006048,a01099951
n#077064,n14385325
n#069392,n12973202
n#003744,n00733883
n#066358,n12344131
n#057396,n10589785
n#001641,n00338088
n#026865,n04836960
n#028839,n05217688
n#058552,n10776766
n#049551,n09223725
n#076348,n14264203
n#001754,n00359492
a#007171,a01316467
n#002685,n00540485
v#007715,v01552390
a#002452,a00434838
n#010136,n01966204
n#034639,n06412213
v#011785,v02362130
n#005053,n00992732
n#008028,n01577458
n#001785,n00365012
n#030472,n05537243
n#025184,n04513171
n#015596,n02900987
n#030523,n05546997
n#006348,n01240628
n#021928,n03971040
n#069687,n13034555
n#008880,n01733346
n#082463,n80000349
n#037523,n06940854
n#035953,n06663168
a#014429,a02597781
n#039362,n07272920
n#002039,n00415098
n#060774,n11191653
n#021203,n03850053
n#074664,n13942405
v#004671,v00971324
n#038107,n07040148
n#052840,n09828600
n#076721,n14330265
n#014702,n02755529
n#074737,n13957493
n#002798,n00561820
n#070723,n13248928
n#064405,n11936287
n#030675,n05577060
n#080361,n14987484
n#022912,n04136676
n#014481,n02713003
n#016970,n03133538
n#011651,n02225231
n#033245,n06122747
a#016033,a02827790
n#004440,n00873238
n#003434,n00677434
n#060850,n11205246
n#075015,n14011408
v#001297,v00271201
a#012629,a02282376
n#031095,n05655810
a#007938,a01451937
n#006531,n01272787
n#063483,n11740208
n#062711,n11542920
n#050193,n09345693
v#007365,v01484982
n#015399,n02868638
a#006393,a01169817
n#019794,n03609542
n#078558,n14676756
n#052632,n09787390
a#010384,a01894196
n#010560,n02040113
n#008795,n01717860
n#022803,n04120093
n#069950,n13089631
n#004280,n00841777
n#053737,n09973072
n#077370,n14444326
a#014681,a02633115
n#039271,n07258664
n#006317,n01234528
n#055785,n10312287
n#051946,n09676127
v#009168,v01847392
v#001513,v00312648
n#069901,n13079203
n#063592,n11763874
a#000892,a00164681
n#045278,n08313790
r#002663,r00390941
n#035808,n06635759
a#010355,a01887819
v#002859,v00576979
v#013018,v02625016
r#001485,r00218267
n#015991,n02966068
n#082601,n80000487
v#007751,v01559868
n#073880,n13799967
n#040671,n07510184
r#002154,r00312925
n#074847,n13978033
v#000947,v00200242
v#008967,v01803003
n#070377,n13181406
v#011843,v02372605
n#067864,n12661661
n#039156,n07237038
n#025854,n04628466
n#045297,n08317885
n#027937,n05039633
n#020908,n03800001
n#057235,n10563183
r#000523,r00087916
n#013254,n02497983
n#010593,n02045705
a#011464,a02092129
n#037977,n07014187
n#031044,n05646039
n#001475,n00307631
a#010869,a01984806
n#059975,n11048739
v#009793,v01967792
v#004221,v00875951
n#008592,n01681653
n#002327,n00468299
v#007419,v01494310
n#005540,n01083645
v#002638,v00536921
n#008483,n01660719
n#019036,n03480973
n#021756,n03940713
n#051724,n09637512
n#046315,n08540016
n#053297,n09897350
n#080453,n15003797
n#022928,n04139140
n#011904,n02267975
n#043365,n07920052
n#076436,n14279235
n#080046,n14933236
n#037876,n06996309
n#046859,n08646566
n#057018,n10527915
a#007012,a01286659
n#045513,n08362917
n#081118,n15121406
n#020020,n03646809
n#013944,n02619861
a#017826,a03107285
n#052537,n09770472
n#067724,n12633061
n#017531,n03226254
v#011486,v02307008
a#008994,a01643094
n#010645,n02053859
n#015798,n02933462
n#071315,n13350322
n#044947,n08251303
n#029255,n05297523
v#013758,v02771020
n#081470,n15186412
a#016690,a02930765
n#024992,n04480995
n#053267,n09892513
a#009830,a01790507
n#043163,n07890890
n#057680,n10639469
n#043751,n07993643
n#080701,n15047313
n#014782,n02768433
n#043419,n07927070
n#002880,n00576877
n#046638,n08602650
v#010940,v02192818
v#000742,v00162350
n#027025,n04868505
n#040221,n07431683
n#003438,n00678010
n#014005,n02631330
n#061119,n11253248
v#011754,v02356567
n#081143,n15126361
v#013471,v02717102
n#048018,n08910230
v#006557,v01330093
n#018900,n03460147
n#052395,n09745636
v#001604,v00329654
n#036167,n06701906
n#016284,n03014705
n#078909,n14739861
n#023433,n04225337
a#016579,a02911757
n#072433,n13562133
n#077851,n14537054
n#033931,n06273743
a#002024,a00366185
n#012035,n02291220
n#061097,n11248777
n#055486,n10263411
n#054577,n10116370
n#017630,n03242595
n#034891,n06465780
n#060885,n11211236
n#017103,n03153375
n#066139,n12301613
n#049562,n09226367
n#012046,n02292980
n#029382,n05322247
n#024880,n04462102
a#008923,a01630773
v#001439,v00298244
n#016616,n03068862
a#015760,a02786315
n#027188,n04899416
n#059393,n10938363
a#006397,a01170243
n#019719,n03598515
v#002377,v00489299
n#033678,n06220819
n#010874,n02093859
n#007652,n01501450
n#080588,n15027970
n#042557,n07801007
n#081461,n15184170
n#081251,n15146260
n#035178,n06519077
n#055754,n10306890
n#044742,n08217557
n#010917,n02100399
n#048248,n08961630
n#005050,n00992221
n#080967,n15092227
a#010221,a01861776
a#001966,a00354433
n#014177,n02660769
n#054940,n10171456
n#001122,n00240754
n#037297,n06911484
v#004555,v00946588
n#052398,n09745933
n#060439,n11134620
a#013278,a02399014
n#036978,n06859309
n#024308,n04367011
a#013757,a02482298
n#045898,n08433861
n#063763,n11800236
n#012898,n02435853
n#022793,n04118538
n#024289,n04363559
n#063151,n11677144
a#008584,a01564073
a#012494,a02257731
n#026258,n04709759
n#035721,n06621215
a#004889,a00891970
n#066438,n12360817
n#078872,n14732472
n#029513,n05348054
n#074198,n13856857
n#051516,n09589996
n#038105,n07039770
a#012771,a02306598
n#045746,n08408267
n#033545,n06195555
a#005602,a01024228
a#002797,a00498286
a#009972,a01815219
n#039521,n07303153
